No handlers could be found for logger "django.request"
127.0.0.1 - - [09/Nov/2014 18:43:05] "GET / HTTP/1.1" 200 3882
127.0.0.1 - - [09/Nov/2014 18:43:17] "GET /weixin?signature=642b6a6cf036c32ace0905851168b9bdf5035069&echostr=813569298258709987&timestamp=1415529699&nonce=1311370281 HTTP/1.1" 404 5386
127.0.0.1 - - [09/Nov/2014 18:43:27] "GET /weixin/?signature=a6c4af9d80f6f4af20be34742b67607d5efb9b98&echostr=1072728149287985133&timestamp=1415529709&nonce=2079271970 HTTP/1.1" 404 5390
127.0.0.1 - - [09/Nov/2014 18:43:58] "GET / HTTP/1.1" 200 3882
127.0.0.1 - - [09/Nov/2014 18:43:59] "GET /weixin/?signature=68f123c57a4754f97acbc99ec33d36e70a81dd79&echostr=7704698656940574703&timestamp=1415529741&nonce=1940427550 HTTP/1.1" 404 5390
127.0.0.1 - - [09/Nov/2014 18:45:29] "GET /weixin/?signature=dcd2e1baadcb1dd68582dc09873b4a4bf43d6e4c&echostr=405266579104694271&timestamp=1415529831&nonce=577940005 HTTP/1.1" 404 5388
127.0.0.1 - - [09/Nov/2014 18:46:17] "POST /login/ HTTP/1.1" 200 40
127.0.0.1 - - [09/Nov/2014 18:46:17] "GET /list/ HTTP/1.1" 200 4131
127.0.0.1 - - [09/Nov/2014 18:46:19] "GET /menu/adjust/ HTTP/1.1" 200 3892
127.0.0.1 - - [09/Nov/2014 18:46:20] "GET /menu/get/ HTTP/1.1" 200 2
127.0.0.1 - - [09/Nov/2014 18:47:35] "GET /weixin?signature=ec881d9cb0a39c491f4324bd051337b4203e02e6&echostr=5269636694767818223&timestamp=1415529957&nonce=397891407 HTTP/1.1" 404 5386
127.0.0.1 - - [09/Nov/2014 18:47:49] "GET /weixin?signature=cb4edb5eec11fc22a87f600c7da74e18627ec695&echostr=6699715097176002035&timestamp=1415529970&nonce=429897899 HTTP/1.1" 404 5386
127.0.0.1 - - [27/Nov/2014 00:09:52] "POST /weixin?signature=76689338e32d5bec60cae5d222335425a9d2bd04&timestamp=1417018058&nonce=1002148279 HTTP/1.1" 200 541
127.0.0.1 - - [27/Nov/2014 00:09:58] "POST /weixin?signature=a899c86b4f8f4341176f06b77d2da992657c79c4&timestamp=1417018067&nonce=1808738659 HTTP/1.1" 200 1025
127.0.0.1 - - [27/Nov/2014 00:10:06] "GET / HTTP/1.1" 200 3888
127.0.0.1 - - [27/Nov/2014 00:10:07] "GET /favicon.ico HTTP/1.1" 404 5377
127.0.0.1 - - [27/Nov/2014 00:10:13] "GET / HTTP/1.1" 200 3888
127.0.0.1 - - [27/Nov/2014 00:10:13] "GET /static1/lib/bs/css/bootstrap.min.css HTTP/1.1" 200 102931
127.0.0.1 - - [27/Nov/2014 00:10:13] "GET /static1/lib/bs/css/signin.css HTTP/1.1" 200 745
127.0.0.1 - - [27/Nov/2014 00:10:13] "GET /static1/lib/jq/jquery-1.10.2.min.js HTTP/1.1" 200 93113
127.0.0.1 - - [27/Nov/2014 00:10:13] "GET /static1/lib/bs/js/bootstrap.min.js HTTP/1.1" 200 27756
127.0.0.1 - - [27/Nov/2014 00:10:13] "GET /static1/lib/jq/form/jquery.form.min.js HTTP/1.1" 200 14804
127.0.0.1 - - [27/Nov/2014 00:10:18] "POST /login/ HTTP/1.1" 200 40
127.0.0.1 - - [27/Nov/2014 00:10:18] "GET /list/ HTTP/1.1" 200 6148
127.0.0.1 - - [27/Nov/2014 00:10:22] "GET /add/ HTTP/1.1" 200 75077
